산업,산업2,광고제목,광고부제목,날짜,시간,링크
정보통신,이동통신,웍트로닉스,스스로 일하는 업무로봇,['2022.08.09'],36,https://play.tvcf.co.kr/882581
정보통신,이동통신,KT Y박스,이십대들아~ 이런 보물상자 또 없다,['2022.07.28'],59,https://play.tvcf.co.kr/880829
정보통신,이동통신,LG유플러스 유독,[WHY NOT] 쉽고 편하게 관리하는 선 넘은 구독의 시작_자유할인,['2022.07.17'],15,https://play.tvcf.co.kr/879809
정보통신,이동통신,LG유플러스 유독,[WHY NOT] 쉽고 편하게 관리하는 선 넘은 구독의 시작,['2022.07.15'],15,https://play.tvcf.co.kr/879709
정보통신,이동통신,LG유플러스 유독,[WHY NOT] 유독 편리 티져,['2022.07.14'],6,https://play.tvcf.co.kr/879433
정보통신,이동통신,LG유플러스 유독,[WHY NOT] 유독 할인 티져,['2022.07.14'],6,https://play.tvcf.co.kr/879432
정보통신,이동통신,KT,WeChat KT,['2022.07.05'],91,https://play.tvcf.co.kr/878348
정보통신,이동통신,KT olleh TV 키즈랜드,"우리아이 영어시작, '오은영의 금쪽 솔루션'",['2022.06.21'],35,https://play.tvcf.co.kr/875876
정보통신,이동통신,KT olleh TV 키즈랜드,"우리아이 마음읽기, '오은영의 금쪽 솔루션'",['2022.06.21'],35,https://play.tvcf.co.kr/875874
정보통신,이동통신,SK텔레콤 T ALL 케어,돌아오라 일상으로,['2022.06.17'],90,https://play.tvcf.co.kr/875390
정보통신,이동통신,KT 유튜브 프리미엄 초이스,당신은 초이스 하셨나요?,['2022.06.10'],30,https://play.tvcf.co.kr/874701
정보통신,이동통신,LG유플러스,유플만의 독점혜택 받고 레고랜드 가자! (15초),['2022.06.09'],15,https://play.tvcf.co.kr/874510
정보통신,이동통신,LG유플러스,유플만의 독점혜택 받고 레고랜드 가자! (FULL),['2022.06.07'],28,https://play.tvcf.co.kr/874127
정보통신,이동통신,LG유플러스,유플만의 독점혜택 받고 레고랜드 가자! (6초),['2022.06.07'],6,https://play.tvcf.co.kr/874126
정보통신,이동통신,SK텔레콤,첫 로밍 50% 할인,['2022.06.03'],29,https://play.tvcf.co.kr/873854
정보통신,이동통신,SK텔레콤,내 폰 내 번호 그대로,['2022.06.03'],26,https://play.tvcf.co.kr/873853
정보통신,이동통신,SK텔레콤,baro 요금제,['2022.06.03'],28,https://play.tvcf.co.kr/873852
정보통신,이동통신,KT,등심보다는 안심으로 체인지!,['2022.06.03'],69,https://play.tvcf.co.kr/873844
정보통신,이동통신,KT,계산왕 등장!,['2022.06.03'],78,https://play.tvcf.co.kr/873838
정보통신,이동통신,KT,(BDNS X KT) 일타강사 문쌤의 ‘갤럭시Jump2’ 쪽집게 강의!,['2022.06.03'],68,https://play.tvcf.co.kr/873806
정보통신,이동통신,KT,(BDNS X KT) 문상기자의 ‘갤럭시Jump2’ 단독보도!,['2022.06.03'],90,https://play.tvcf.co.kr/873805
정보통신,이동통신,KT,허석 프로도 사용하는 골프템 | 갤럭시워치4 골프에디션,['2022.06.02'],53,https://play.tvcf.co.kr/873652
정보통신,이동통신,KT Y,Y아티스트 프로젝트 이병관,['2022.06.02'],57,https://play.tvcf.co.kr/873649
정보통신,이동통신,SK텔레콤 T우주,반려견,['2022.05.20'],30,https://play.tvcf.co.kr/872153
정보통신,이동통신,SK텔레콤 T우주,캠핑,['2022.05.20'],30,https://play.tvcf.co.kr/872260
정보통신,이동통신,SK텔레콤 T우주,골프,['2022.05.20'],30,https://play.tvcf.co.kr/872155
정보통신,이동통신,LG유플러스,데이터 하루 최대 100원! 부담제로 U+로밍,['2022.05.16'],15,https://play.tvcf.co.kr/871568
정보통신,이동통신,LG유플러스,데이터 하루 최대 100원! 부담제로 U+로밍,['2022.05.16'],5,https://play.tvcf.co.kr/871567
정보통신,이동통신,SK텔레콤 T괌사이판 국내처럼,[T괌사이판 국내처럼]과 함께 잘 다녀오세요!,['2022.05.12'],28,https://play.tvcf.co.kr/871094
정보통신,이동통신,SK텔레콤 ZEM,요즘 초등생활 지침서 A to ZEM [자기주도 습관],['2022.05.11'],30,https://play.tvcf.co.kr/871024
정보통신,이동통신,LG유플러스 레고랜드,레고레고~,['2022.05.09'],13,https://play.tvcf.co.kr/870670
정보통신,이동통신,KB국민은행 리브모바일,"Liiv M X 송강,도연 요금 폭탄 맞아도 싸요_FLEX LTE 요금제",['2022.05.02'],15,https://play.tvcf.co.kr/869789
정보통신,이동통신,KT 결혼혜택패키지,결혼을 생각한다면 알아둘 꿀혜택 5가지,['2022.04.27'],60,https://play.tvcf.co.kr/868751
정보통신,이동통신,KB국민은행 리브모바일,"Liiv M X 송강,도연 요금 폭탄 맞아도 싸요_Liiv M 멤버십",['2022.04.22'],15,https://play.tvcf.co.kr/868402
정보통신,이동통신,KB국민은행 리브모바일,"Liiv M X 송강,도연 요금 폭탄 맞아도 싸요_든든 요금",['2022.04.15'],15,https://play.tvcf.co.kr/867777
정보통신,이동통신,KB국민은행 리브모바일,Liiv M X 도연 요금 폭탄 맞아도 싸요_나라사랑,['2022.04.11'],15,https://play.tvcf.co.kr/867231
정보통신,이동통신,KB국민은행 리브모바일,"Liiv M X 송강,도연 요금 폭탄 맞아도 싸요_데이터쉐어링",['2022.04.01'],15,https://play.tvcf.co.kr/865757
정보통신,이동통신,LG유플러스,유플러스 키즈폰과 뚝숑해,['2022.03.11'],15,https://play.tvcf.co.kr/863782
정보통신,이동통신,LG유플러스,유플러스 키즈폰과 쭉척해,['2022.03.11'],15,https://play.tvcf.co.kr/863781
정보통신,이동통신,KT Y,Y덤,['2022.03.07'],91,https://play.tvcf.co.kr/863093
정보통신,이동통신,LG유플러스,"[WHY NOT] 세대를 넘어 디즈니+를 함께하는, 선 넘는 즐거움",['2022.02.27'],30,https://play.tvcf.co.kr/861790
정보통신,이동통신,LG유플러스,"[WHY NOT] 공간을 넘어 디즈니+와 함께하는, 선 넘는 즐거움",['2022.02.27'],30,https://play.tvcf.co.kr/861792
정보통신,이동통신,LG유플러스,[디플유플] 디즈니+ 3개월 혜택 가보자고! 밈,['2022.02.18'],14,https://play.tvcf.co.kr/860684
정보통신,이동통신,LG유플러스,[디플유플] 디즈니+ 그룹워치 최대 7명까지! 밈,['2022.02.18'],13,https://play.tvcf.co.kr/860685
정보통신,이동통신,LG유플러스,[디플유플] 디플~ 유플~ 아 쌍플! 밈,['2022.02.18'],14,https://play.tvcf.co.kr/860686
정보통신,이동통신,LG유플러스,[디플유플] 디즈니+ 함께 모여~! 그룹워치로 흥이난다 흥이나♬ 댄스,['2022.02.17'],15,https://play.tvcf.co.kr/860481
정보통신,이동통신,LG유플러스,[디플유플] 2명만 모이면 디즈니+ 3개월 혜택! 댄스,['2022.02.17'],15,https://play.tvcf.co.kr/860480
정보통신,이동통신,LG유플러스,"[디플유플] 디즈니+ 그리드도, 유플러스에서! 댄스",['2022.02.17'],15,https://play.tvcf.co.kr/860482
정보통신,이동통신,SK텔레콤 Atozem,새학기 학부모 지침서_바른습관만들기,['2022.02.17'],30,https://play.tvcf.co.kr/860630
정보통신,이동통신,SK텔레콤 Atozem,새학기 학부모 지침서_안전한 스마트폰 사용,['2022.02.17'],30,https://play.tvcf.co.kr/860622
정보통신,이동통신,SK텔레콤 Atozem,새학기 학부모 지침서_아이위치확인,['2022.02.17'],30,https://play.tvcf.co.kr/860620
정보통신,이동통신,KT 5G,갤럭시 S22는 KT로 초이스,['2022.02.16'],30,https://play.tvcf.co.kr/860449
정보통신,이동통신,SK텔레콤 갤럭시 S22,우주만큼 사랑해,['2022.02.14'],30,https://play.tvcf.co.kr/860219
정보통신,이동통신,LG유플러스,"갤럭시 S22, 유플러스에서 골라 즐기는 22가지 혜택 #사진여행러버",['2022.02.11'],30,https://play.tvcf.co.kr/860077
정보통신,이동통신,LG유플러스,"갤럭시 S22, 유플러스에서 골라 즐기는 22가지 혜택 #헬시플레저",['2022.02.11'],30,https://play.tvcf.co.kr/860076
정보통신,이동통신,LG유플러스,"갤럭시 S22, 유플러스에서 골라 즐기는 22가지 혜택 #스트리밍라이프",['2022.02.11'],30,https://play.tvcf.co.kr/860075
정보통신,이동통신,PlayZ,캠핑,['2022.01.21'],30,https://play.tvcf.co.kr/858032
정보통신,이동통신,PlayZ,독립,['2022.01.21'],30,https://play.tvcf.co.kr/858031
정보통신,이동통신,PlayZ,내방,['2022.01.21'],40,https://play.tvcf.co.kr/858022
정보통신,이동통신,KT 스마트메시지,가게정보,['2022.01.05'],37,https://play.tvcf.co.kr/855851
정보통신,이동통신,KT 스마트메시지,위치문자,['2022.01.05'],54,https://play.tvcf.co.kr/855858
정보통신,이동통신,KT 스마트메시지,양방향,['2022.01.05'],43,https://play.tvcf.co.kr/855852
정보통신,이동통신,LG유플러스 우리가게패키지,[ U+우리가게패키지 ] 우리가게 든든하게!_세친구,['2021.12.20'],15,https://play.tvcf.co.kr/852894
정보통신,이동통신,LG유플러스 우리가게패키지,[ U+우리가게패키지 ] 우리가게 든든하게!_쏘카,['2021.12.20'],15,https://play.tvcf.co.kr/852888
정보통신,이동통신,LG유플러스 도전은행,오늘무해 탄소제로프로젝트,['2021.12.17'],4,https://play.tvcf.co.kr/854106
정보통신,이동통신,LG유플러스,To. 운동한다면서 오늘도 또 누워있는 너!,['2021.12.16'],71,https://play.tvcf.co.kr/853979
정보통신,이동통신,LG유플러스,To. 다이어트한다면서 또 과자 먹는 너!,['2021.12.16'],68,https://play.tvcf.co.kr/853976
정보통신,이동통신,LG유플러스,U+프로야구 울트라 다이나믹 하이파이브 리액션 스트랩,['2021.12.14'],52,https://play.tvcf.co.kr/853878
정보통신,이동통신,LG유플러스,무너Lab 21년 발명품 컬렉션 (나란 무너.. 발명에 진심인 편),['2021.12.14'],44,https://play.tvcf.co.kr/853865
정보통신,이동통신,LG유플러스 우리가게패키지,[ U+우리가게패키지 ] 우리가게 든든하게!_세친구,['2021.12.14'],20,https://play.tvcf.co.kr/853666
정보통신,이동통신,LG유플러스 우리가게패키지,[ U+우리가게패키지 ] 우리가게 든든하게!_쏘카,['2021.12.14'],20,https://play.tvcf.co.kr/853665
정보통신,이동통신,LG유플러스 우리가게패키지,[ U+우리가게패키지 ] 우리가게 든든하게!_토마토세븐,['2021.12.13'],15,https://play.tvcf.co.kr/852889
정보통신,이동통신,SK텔레콤 V 컬러링,보이는 컬러링 V 컬러링,['2021.12.10'],53,https://play.tvcf.co.kr/853544
정보통신,이동통신,LG유플러스 우리가게패키지,[ U+우리가게패키지 ] 우리가게 든든하게!_배달의민족,['2021.12.06'],15,https://play.tvcf.co.kr/852882
정보통신,이동통신,삼성 갤럭시,Galaxy x Maison Kitsuné,['2021.12.02'],63,https://play.tvcf.co.kr/852479
정보통신,이동통신,공공 캠페인 사례,,['2021.11.30'],20,https://play.tvcf.co.kr/851987
정보통신,이동통신,공익광고,,['2021.11.30'],20,https://play.tvcf.co.kr/851998
정보통신,이동통신,디지털,,['2021.11.30'],20,https://play.tvcf.co.kr/852000
정보통신,이동통신,디지털,,['2021.11.30'],20,https://play.tvcf.co.kr/851999
정보통신,이동통신,브랜드경험 & 활성화,,['2021.11.30'],20,https://play.tvcf.co.kr/852004
정보통신,이동통신,브랜디드 컨텐츠 비디오,,['2021.11.30'],20,https://play.tvcf.co.kr/852005
정보통신,이동통신,사운드,,['2021.11.30'],20,https://play.tvcf.co.kr/852010
정보통신,이동통신,시각효과,,['2021.11.30'],20,https://play.tvcf.co.kr/852011
정보통신,이동통신,아웃도어,,['2021.11.30'],20,https://play.tvcf.co.kr/852006
정보통신,이동통신,연출,,['2021.11.30'],20,https://play.tvcf.co.kr/852012
정보통신,이동통신,촬영,,['2021.11.30'],20,https://play.tvcf.co.kr/852013
정보통신,이동통신,크리에이티브 전략,,['2021.11.30'],20,https://play.tvcf.co.kr/852016
정보통신,이동통신,크리에이티브 효과,,['2021.11.30'],20,https://play.tvcf.co.kr/852017
정보통신,이동통신,편집,,['2021.11.30'],20,https://play.tvcf.co.kr/852014
정보통신,이동통신,프로덕션디자인,,['2021.11.30'],20,https://play.tvcf.co.kr/852015
정보통신,이동통신,홍보ㆍ전시ㆍ이벤트,,['2021.11.30'],20,https://play.tvcf.co.kr/852018
정보통신,이동통신,Covid-19 극복,,['2021.11.30'],20,https://play.tvcf.co.kr/852009
정보통신,이동통신,"Interactive, VR/AR",,['2021.11.30'],20,https://play.tvcf.co.kr/852007
정보통신,이동통신,TV,,['2021.11.30'],20,https://play.tvcf.co.kr/851995
정보통신,이동통신,TV,,['2021.11.30'],20,https://play.tvcf.co.kr/851994
정보통신,이동통신,Under 10sec,,['2021.11.30'],20,https://play.tvcf.co.kr/851991
정보통신,이동통신,LG유플러스 우리가게패키지,[ U+우리가게패키지 ] 우리가게 든든하게!_배달의민족,['2021.11.18'],20,https://play.tvcf.co.kr/850792
정보통신,이동통신,LG유플러스 우리가게패키지,[ U+우리가게패키지 ] 우리가게 든든하게!_토마토세븐,['2021.11.18'],20,https://play.tvcf.co.kr/850791
정보통신,이동통신,LG유플러스 모바일tv,여행 애호가,['2021.11.02'],34,https://play.tvcf.co.kr/848170
정보통신,이동통신,LG유플러스 모바일tv,자동차 애호가,['2021.11.02'],32,https://play.tvcf.co.kr/848169
정보통신,이동통신,LG유플러스 모바일tv,OTT 매니아,['2021.11.02'],28,https://play.tvcf.co.kr/848168
정보통신,이동통신,LG유플러스 모바일tv,홈데코 애호가,['2021.11.02'],31,https://play.tvcf.co.kr/848167
정보통신,이동통신,LG유플러스 도전은행,우리의 도전으로 세상에 기부를 할 수 있다고? Why Not!,['2021.10.28'],30,https://play.tvcf.co.kr/847777
정보통신,이동통신,LG유플러스 도전은행,도전이 기부가 되는 도전은행,['2021.10.22'],30,https://play.tvcf.co.kr/847177
정보통신,이동통신,KT 5G 아이폰 13 Pro,"특별한 순간, 더 특별하게",['2021.10.21'],30,https://play.tvcf.co.kr/847053
정보통신,이동통신,삼성 갤럭시 워치4,"움직여봐, 원하는 대로",['2021.10.13'],80,https://play.tvcf.co.kr/845451
정보통신,이동통신,KT 5G 아이폰 13 Pro,기다리던 아이폰 13 Pro를 만나다-모니카,['2021.10.10'],15,https://play.tvcf.co.kr/845559
정보통신,이동통신,KT 5G 아이폰 13 Pro,기다리던 아이폰 13 Pro를 만나다-립제이,['2021.10.10'],15,https://play.tvcf.co.kr/845558
정보통신,이동통신,LG유플러스 아이폰 13 Pro,같은 iPhone13도 레벨이 다르게,['2021.10.10'],30,https://play.tvcf.co.kr/845562
정보통신,이동통신,SK텔레콤 아이폰 13 Pro,0의 새로운 유니버스_시네마틱모드,['2021.10.10'],30,https://play.tvcf.co.kr/845554
정보통신,이동통신,KT 스마트메시지,"김동현, 디스 이즈 스마트다!",['2021.10.07'],78,https://play.tvcf.co.kr/845161
정보통신,이동통신,KT 5G 아이폰 13 Pro,iPhone 13 Pro가 온다_립제이,['2021.10.05'],15,https://play.tvcf.co.kr/844915
정보통신,이동통신,KT 5G 아이폰 13 Pro,iPhone 13 Pro가 온다_모니카,['2021.10.05'],15,https://play.tvcf.co.kr/844913
정보통신,이동통신,SK텔레콤 아이폰 13 Pro,0의 새로운 유니버스,['2021.10.02'],30,https://play.tvcf.co.kr/844872
정보통신,이동통신,SK텔레콤 T우주,우주패스,['2021.09.06'],30,https://play.tvcf.co.kr/841477
정보통신,이동통신,SK텔레콤 T우주,우주패스,['2021.09.06'],60,https://play.tvcf.co.kr/841478
정보통신,이동통신,삼성 갤럭시 워치4,"움직여봐, 원하는 대로",['2021.09.05'],30,https://play.tvcf.co.kr/841429
정보통신,이동통신,KT Y,Y BGM 공모전,['2021.09.03'],87,https://play.tvcf.co.kr/841297
정보통신,이동통신,SK텔레콤 T우주,모두의 구독 유니버스_FLO X T우주,['2021.09.01'],15,https://play.tvcf.co.kr/840771
정보통신,이동통신,SK텔레콤 T우주,모두의 구독 유니버스_STARBUCKS X T우주,['2021.09.01'],15,https://play.tvcf.co.kr/840769
정보통신,이동통신,SK텔레콤 T우주,모두의 구독 유니버스_런칭 (FULL),['2021.09.01'],150,https://play.tvcf.co.kr/840762
정보통신,이동통신,SK텔레콤 T우주,모두의 구독 유니버스_Google One X T우주,['2021.09.01'],15,https://play.tvcf.co.kr/840728
정보통신,이동통신,SK텔레콤 T우주,모두의 구독 유니버스_아마존 X 11번가,['2021.09.01'],15,https://play.tvcf.co.kr/840727
정보통신,이동통신,SK텔레콤 T우주,모두의 구독 유니버스_T맵 X T우주,['2021.09.01'],15,https://play.tvcf.co.kr/840726
정보통신,이동통신,SK텔레콤 T우주,모두의 구독 유니버스_웨이브 X T우주,['2021.09.01'],15,https://play.tvcf.co.kr/840725
정보통신,이동통신,SK텔레콤 T우주,모두의 구독 유니버스,['2021.09.01'],60,https://play.tvcf.co.kr/840724
정보통신,이동통신,KT 프리미엄 싱글결합,김연경의 싱글라이프,['2021.08.30'],30,https://play.tvcf.co.kr/840474
정보통신,이동통신,LG유플러스,spotify,['2021.08.26'],44,https://play.tvcf.co.kr/840247
정보통신,이동통신,LG유플러스,spotify,['2021.08.26'],15,https://play.tvcf.co.kr/840248
정보통신,이동통신,SK텔레콤 갤럭시 Z 폴드3 갤럭시 Z 플립3,지구에 없던 역대급혜택,['2021.08.24'],30,https://play.tvcf.co.kr/839975
정보통신,이동통신,비즈플레이,쉽고 빠른 경비처리_만능해결사,['2021.08.20'],15,https://play.tvcf.co.kr/839727
정보통신,이동통신,삼성 갤럭시 Z 폴드3 갤럭시 Z 플립3 갤럭시워치4,[갤럭시 S21 To Go 서비스]폴더블과 워치를 3일동안 내 맘대로,['2021.08.18'],15,https://play.tvcf.co.kr/839470
